layer,name,description,mobile_numbers,latitude,longitude,altitude,style,google_maps_url
Health Facilities - HBT in the route,Parmar Dispensary HBT Pune Cantonment Board,Parmar Dispensary HBT Pune Cantonment Board. OPD SERVICES available,,18.502243,73.8785247,0,#icon-seq2-3-0-E65100,"https://www.google.com/maps/search/?api=1&query=18.502243,73.8785247"
Health Facilities - HBT in the route,HBT SASWAD,HBT SASWAD OPD SERVICES ARE AVAIALBLE,,18.3400752,74.0278798,0,#icon-seq2-3-1-E65100,"https://www.google.com/maps/search/?api=1&query=18.3400752,74.0278798"
Ambulance Spots,Ambulance Point 1,Gavhanevasti Ambulance Spot 1,,18.6177057,73.8485225,0,#icon-seq2-4-0-673AB7,"https://www.google.com/maps/search/?api=1&query=18.6177057,73.8485225"
Ambulance Spots,Ambulance Point 2,Palkhi Marg Wadaki Ambulance Spot 6,,18.4437518,73.9765043,0,#icon-seq2-4-1-673AB7,"https://www.google.com/maps/search/?api=1&query=18.4437518,73.9765043"
Ambulance Spots,Ambulance Point 3,Wadki Nala ambulance spot 8,,18.427471,73.981295,0,#icon-seq2-4-2-673AB7,"https://www.google.com/maps/search/?api=1&query=18.427471,73.981295"
Ambulance Spots,Ambulance Point 4,Dive Ghat Ambulance Spot 9,,18.4149496,73.9912603,0,#icon-seq2-4-3-673AB7,"https://www.google.com/maps/search/?api=1&query=18.4149496,73.9912603"
Ambulance Spots,Ambulance  Point 5,"Shree Vitthal Murti, Diveghat Ambulance Spot 5",,18.415424,74.0057994,0,#icon-seq2-4-4-673AB7,"https://www.google.com/maps/search/?api=1&query=18.415424,74.0057994"
Ambulance Spots,Ambulance Point 6,Dive village AMBULANCE Point 6,,18.3804153,74.0164683,0,#icon-seq2-4-5-673AB7,"https://www.google.com/maps/search/?api=1&query=18.3804153,74.0164683"
Ambulance Spots,Ambulance Point 7,Ambulance Point 7,,18.3539869,74.0289627,0,#icon-seq2-4-6-673AB7,"https://www.google.com/maps/search/?api=1&query=18.3539869,74.0289627"
Ambulance Spots,Ambulance Point 8,Ambulance Point 8,,18.3363896,74.0475021,0,#icon-seq2-4-7-673AB7,"https://www.google.com/maps/search/?api=1&query=18.3363896,74.0475021"
Ambulance Spots,Ambulance Point 9,Ambulance Point 9,,18.3249831,74.0701614,0,#icon-seq2-4-8-673AB7,"https://www.google.com/maps/search/?api=1&query=18.3249831,74.0701614"
Ambulance Spots,Ambulance Point 10,Ambulance Point 10,,18.305812,74.0962235,0,#icon-seq2-4-9-673AB7,"https://www.google.com/maps/search/?api=1&query=18.305812,74.0962235"
Ambulance Spots,Ambulance Point 11,Ambulance Point 11,,18.2927736,74.1205994,0,#icon-seq2-4-10-673AB7,"https://www.google.com/maps/search/?api=1&query=18.2927736,74.1205994"
Ambulance Spots,Ambulance Point 12,Ambulance Point 12,,18.2811456,74.1559924,0,#icon-seq2-4-11-673AB7,"https://www.google.com/maps/search/?api=1&query=18.2811456,74.1559924"
Ambulance Spots,Ambulance Point 13,Ambulance Point 13,,18.2464105,74.1778147,0,#icon-seq2-4-12-673AB7,"https://www.google.com/maps/search/?api=1&query=18.2464105,74.1778147"
Ambulance Spots,Ambulance Point 14,Ambulance Point 14,,18.2302698,74.16803,0,#icon-seq2-4-13-673AB7,"https://www.google.com/maps/search/?api=1&query=18.2302698,74.16803"
Ambulance Spots,Ambulance Point 15,Ambulance Point 15,,18.2143417,74.1625547,0,#icon-seq2-4-14-673AB7,"https://www.google.com/maps/search/?api=1&query=18.2143417,74.1625547"
Ambulance Spots,Ambulance Point 16,Ambulance Point 16,,18.2017856,74.1577482,0,#icon-seq2-4-15-673AB7,"https://www.google.com/maps/search/?api=1&query=18.2017856,74.1577482"
Ambulance Spots,Ambulance Point 17,Ambulance Point 17,,18.1887394,74.1551733,0,#icon-seq2-4-16-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1887394,74.1551733"
Ambulance Spots,Ambulance Point 18,Ambulance Point 18,,18.1766708,74.1651021,0,#icon-seq2-4-17-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1766708,74.1651021"
Ambulance Spots,Ambulance Point 19,Ambulance Point 19,,18.1650995,74.1683543,0,#icon-seq2-4-18-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1650995,74.1683543"
Ambulance Spots,Ambulance Point 20,Ambulance Point 20,,18.1530292,74.1735041,0,#icon-seq2-4-19-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1530292,74.1735041"
Ambulance Spots,Ambulance Point 21,Ambulance Point 21,,18.1421,74.1810572,0,#icon-seq2-4-20-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1421,74.1810572"
Ambulance Spots,Ambulance Point 22,Ambulance Point 22,,18.1342697,74.187752,0,#icon-seq2-4-21-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1342697,74.187752"
Ambulance Spots,Ambulance Point 23,Ambulance Point 23,,18.1254602,74.1942752,0,#icon-seq2-4-22-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1254602,74.1942752"
Ambulance Spots,Ambulance Point 24,Ambulance Point 24,,18.1173029,74.1997683,0,#icon-seq2-4-23-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1173029,74.1997683"
Ambulance Spots,Ambulance Point 25,Ambulance Point 25,,18.1088188,74.2052615,0,#icon-seq2-4-24-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1088188,74.2052615"
Ambulance Spots,Ambulance Point 26,Ambulance Point 26,,18.1037384,74.2133637,0,#icon-seq2-4-25-673AB7,"https://www.google.com/maps/search/?api=1&query=18.1037384,74.2133637"
Ambulance Spots,Ambulance Point 27,Ambulance Point 27,,18.113689,74.2022574,0,#icon-seq2-4-26-673AB7,"https://www.google.com/maps/search/?api=1&query=18.113689,74.2022574"
Ambulance Spots,Ambulance Point 28,Ambulance Point 28,,18.12967,74.190494,0,#icon-seq2-4-27-673AB7,"https://www.google.com/maps/search/?api=1&query=18.12967,74.190494"
Ambulance Spots,Ambulance Point 29,Ambulance Point 29,,18.2648439,74.1712425,0,#icon-seq2-4-28-673AB7,"https://www.google.com/maps/search/?api=1&query=18.2648439,74.1712425"
Health Facilities - Rural Hospital,"Rural Hospital, Alandi",Alandi Rural Hospital | Total - 30 Bed availability. 5 ICU BED | Dr. Urmila Shinde | Mobile Number – 9404695200,9404695200,18.6751504,73.8980026,0,#icon-seq2-5-0-7CB342,"https://www.google.com/maps/search/?api=1&query=18.6751504,73.8980026"
Health Facilities - Rural Hospital,"Rural Govt. Hospital, Saswad","Rural Govt. Hospital, Saswad | Total 30 Bed Availability. 5 ICU BED. | Dr. Akamar | Mobile Number - 8390708744",8390708744,18.3471336,74.0311911,0,#icon-seq2-5-1-7CB342,"https://www.google.com/maps/search/?api=1&query=18.3471336,74.0311911"
Health Facilities - Rural Hospital,"Rural Hospital, Jejuri",Jejuri Rural Hospital | Total 30 Bed Availability. 5 ICU bed | Dr. Sonawane | Mobile number – 8329905174,8329905174,18.2757207,74.1631726,0,#icon-seq2-5-2-7CB342,"https://www.google.com/maps/search/?api=1&query=18.2757207,74.1631726"
